time,acc_x,acc_y,acc_z,local_lo,local_la,py_lo,py_la,
1.52629E+12,0.05480957,-0.049194336,0.994750977,17.2833199,62.3954874,-1,,
1.52629E+12,0.050537109,-0.051147461,1.020507813,17.2833199,62.3954874,-1,,
1.52629E+12,0.062988281,-0.06237793,0.985717773,17.2833199,62.3954874,-1,,
1.52629E+12,0.045166016,-0.030151367,1.013305664,17.2833199,62.3954874,-1,,
1.52629E+12,0.065185547,-0.059204102,0.989868164,17.2833199,62.3954874,-1,,
1.52629E+12,0.041381836,-0.033081055,1.011352539,17.2833199,62.3954874,-1,,
1.52629E+12,0.045532227,-0.059814453,0.996582031,17.2833199,62.3954874,-1,,
1.52629E+12,0.059326172,-0.058959961,0.988769531,17.2833199,62.3954874,-1,,
1.52629E+12,0.041748047,-0.030273438,1.014892578,17.2833199,62.3954874,-1,,
1.52629E+12,0.062255859,-0.059204102,0.988891602,17.2833199,62.3954874,-1,,
1.52629E+12,0.043579102,-0.03125,1.012451172,17.2833199,62.3954874,-1,,
1.52629E+12,0.052124023,-0.057250977,1.004394531,17.2833199,62.3954874,-1,,
1.52629E+12,0.059692383,-0.058959961,0.997558594,17.2833199,62.3954874,-1,,
1.52629E+12,0.042602539,-0.028564453,1.00793457,17.2833199,62.3954874,-1,,
1.52629E+12,0.062866211,-0.062866211,0.993774414,17.2833199,62.3954874,-1,,
1.52629E+12,0.044433594,-0.030395508,1.010986328,17.2833199,62.3954874,-1,,
1.52629E+12,0.049194336,-0.066162109,0.992553711,17.2833199,62.3954874,-1,,
1.52629E+12,0.044677734,-0.036254883,1.019897461,17.2833199,62.3954874,-1,,
1.52629E+12,0.05480957,-0.064697266,0.991333008,17.2833199,62.3954874,-1,,
1.52629E+12,0.043579102,-0.029663086,1.003540039,17.2833199,62.3954874,-1,,
1.52629E+12,0.059448242,-0.062866211,0.991088867,17.2833199,62.3954874,-1,,
1.52629E+12,0.049560547,-0.038574219,1.016479492,17.2833199,62.3954874,-1,,
1.52629E+12,0.059448242,-0.064453125,0.981445313,17.2833199,62.3954874,-1,,
1.52629E+12,0.044799805,-0.032104492,0.999755859,17.2833199,62.3954874,-1,,
1.52629E+12,0.045043945,-0.059570313,0.999511719,17.2833199,62.3954874,-1,,
1.52629E+12,0.045166016,-0.034301758,1.01940918,17.2833199,62.3954874,-1,,
1.52629E+12,0.051147461,-0.071777344,0.982299805,17.28332,62.3954874,-1,,
1.52629E+12,0.051513672,-0.024902344,0.994995117,17.28332,62.3954874,-1,,
1.52629E+12,0.04699707,-0.055908203,1.014038086,17.28332,62.3954874,-1,,
1.52629E+12,0.065673828,-0.057739258,0.98815918,17.28332,62.3954874,-1,,
1.52629E+12,0.05065918,-0.063842773,0.989013672,17.28332,62.3954874,-1,,
1.52629E+12,0.052246094,-0.043579102,0.999023438,17.28332,62.3954874,-1,,
1.52629E+12,0.047607422,-0.056396484,1.011352539,17.28332,62.3954874,-1,,
1.52629E+12,0.052734375,-0.052978516,0.990966797,17.28332,62.3954874,-1,,
1.52629E+12,0.049072266,-0.05065918,1.020751953,17.28332,62.3954874,-1,,
